 CONF#          E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1         -65.015016          1.61          -2929.519745          5.72           -10.510453        -2929.536494          3.65                0.01         
 CONF4         -65.014648          1.84          -2929.519318          5.99           -10.616536        -2929.536237          3.82                0.01         
 CONF5         -65.015014          1.61          -2929.521147          4.84           -10.362463        -2929.537661          2.92                0.04         
 CONF6         -65.014643          1.84          -2929.521014          4.92           -10.507399        -2929.537759          2.86                0.05         
 CONF7         -65.014550          1.90          -2929.520640          5.16           -10.536796        -2929.537432          3.07                0.03         
 CONF9         -65.014830          1.72          -2929.521977          4.32           -10.313007        -2929.538412          2.45                0.09         
 CONF12        -65.017566          0.01          -2929.528044          0.51           -8.497331         -2929.541585          0.46                2.68         
 CONF13        -65.017575          0.00          -2929.527912          0.59           -8.487391         -2929.541437          0.55                2.29         
 CONF14        -65.014412          1.99          -2929.522008          4.30           -10.457078        -2929.538673          2.29                0.12         
 CONF26        -65.013580          2.51          -2929.519496          5.87           -10.567744        -2929.536337          3.75                0.01         
 CONF35        -65.013255          2.71          -2929.520456          5.27           -10.686409        -2929.537486          3.03                0.03         
 CONF46        -65.016692          0.55          -2929.527885          0.61           -8.386712         -2929.541250          0.67                1.88         
 CONF47        -65.013265          2.70          -2929.521594          4.56           -10.528303        -2929.538372          2.48                0.09         
 CONF61        -65.012866          2.96          -2929.521498          4.62           -10.695568        -2929.538543          2.37                0.11         
 CONF63        -65.010968          4.15          -2929.518125          6.74           -11.866988        -2929.537036          3.31                0.02         
 CONF64        -65.013019          2.86          -2929.519548          5.84           -10.573110        -2929.536397          3.72                0.01         
 CONF65        -65.013662          2.46          -2929.520054          5.52           -10.165405        -2929.536254          3.81                0.01         
 CONF66        -65.013674          2.45          -2929.520186          5.44           -10.153585        -2929.536367          3.73                0.01         
 CONF70        -65.015983          1.00          -2929.523636          3.28           -8.686226         -2929.537478          3.04                0.03         
 CONF72        -65.010888          4.20          -2929.517198          7.32           -11.878652        -2929.536128          3.88                0.01         
 CONF73        -65.015936          1.03          -2929.523603          3.30           -8.704305         -2929.537474          3.04                0.03         
 CONF74        -65.010892          4.19          -2929.517304          7.25           -11.876911        -2929.536231          3.82                0.01         
 CONF75        -65.015697          1.18          -2929.524937          2.46           -8.843334         -2929.539030          2.06                0.18         
 CONF76        -65.013094          2.81          -2929.522617          3.92           -10.475581        -2929.539311          1.89                0.24         
 CONF81        -65.013126          2.79          -2929.521094          4.87           -10.429767        -2929.537715          2.89                0.04         
 CONF83        -65.012850          2.97          -2929.521646          4.53           -10.580709        -2929.538507          2.39                0.10         
 CONF86        -65.012798          3.00          -2929.520968          4.95           -10.608818        -2929.537875          2.79                0.05         
 CONF87        -65.013038          2.85          -2929.520040          5.53           -10.451927        -2929.536696          3.53                0.02         
 CONF88        -65.013050          2.84          -2929.520069          5.52           -10.440769        -2929.536707          3.52                0.02         
 CONF89        -65.013706          2.43          -2929.521885          4.38           -10.018543        -2929.537851          2.80                0.05         
 CONF92        -65.013241          2.72          -2929.519852          5.65           -10.289877        -2929.536250          3.81                0.01         
 CONF94        -65.012403          3.25          -2929.519003          6.18           -10.799137        -2929.536212          3.83                0.01         
 CONF96        -65.013032          2.85          -2929.520269          5.39           -10.381120        -2929.536812          3.46                0.02         
 CONF99        -65.010346          4.54          -2929.517556          7.09           -12.037635        -2929.536739          3.50                0.02         
CONF101        -65.012872          2.95          -2929.522129          4.22           -10.444740        -2929.538774          2.22                0.14         
CONF104        -65.015758          1.14          -2929.526235          1.65           -8.631396         -2929.539990          1.46                0.50         
CONF106        -65.015794          1.12          -2929.526211          1.66           -8.605153         -2929.539924          1.50                0.46         
CONF107        -65.013041          2.85          -2929.521603          4.55           -10.314810        -2929.538041          2.68                0.06         
CONF108        -65.013036          2.85          -2929.521586          4.56           -10.308466        -2929.538013          2.70                0.06         
CONF112        -65.014833          1.72          -2929.522417          4.04           -9.162995         -2929.537019          3.33                0.02         
CONF113        -65.013506          2.55          -2929.522365          4.07           -9.983024         -2929.538274          2.54                0.08         
CONF114        -65.013053          2.84          -2929.520444          5.28           -10.251408        -2929.536781          3.47                0.02         
CONF119        -65.012655          3.09          -2929.521759          4.45           -10.469965        -2929.538444          2.43                0.10         
CONF121        -65.016187          0.87          -2929.527887          0.61           -8.244239         -2929.541025          0.81                1.48         
CONF123        -65.016277          0.81          -2929.527808          0.66           -8.181385         -2929.540845          0.92                1.23         
CONF126        -65.012457          3.21          -2929.520511          5.24           -10.524333        -2929.537283          3.16                0.03         
CONF127        -65.012459          3.21          -2929.520584          5.19           -10.522619        -2929.537353          3.12                0.03         
CONF128        -65.012866          2.96          -2929.522377          4.07           -10.267467        -2929.538740          2.25                0.13         
CONF132        -65.013882          2.32          -2929.521608          4.55           -9.615499         -2929.536931          3.38                0.02         
CONF139        -65.010087          4.70          -2929.517116          7.37           -11.947484        -2929.536155          3.87                0.01         
CONF147        -65.009569          5.02          -2929.516474          7.77           -12.237955        -2929.535976          3.98                0.01         
CONF154        -65.012492          3.19          -2929.522597          3.93           -10.385600        -2929.539148          1.99                0.20         
CONF159        -65.014337          2.03          -2929.522928          3.72           -9.190491         -2929.537573          2.98                0.04         
CONF163        -65.014371          2.01          -2929.522669          3.88           -9.156648         -2929.537261          3.17                0.03         
CONF164        -65.009500          5.07          -2929.517424          7.18           -12.220713        -2929.536899          3.40                0.02         
CONF167        -65.015748          1.15          -2929.527688          0.73           -8.283526         -2929.540888          0.90                1.28         
CONF168        -65.015743          1.15          -2929.527713          0.72           -8.286695         -2929.540919          0.88                1.32         
CONF169        -65.014358          2.02          -2929.522700          3.86           -9.167028         -2929.537309          3.14                0.03         
CONF173        -65.011830          3.61          -2929.520116          5.49           -10.713870        -2929.537190          3.22                0.03         
CONF177        -65.015331          1.41          -2929.528178          0.43           -8.505401         -2929.541732          0.37                3.13         
CONF178        -65.015152          1.52          -2929.523982          3.06           -8.603056         -2929.537692          2.90                0.04         
CONF184        -65.014649          1.84          -2929.522972          3.69           -8.884479         -2929.537131          3.26                0.02         
CONF189        -65.013693          2.44          -2929.522673          3.88           -9.460726         -2929.537750          2.87                0.05         
CONF197        -65.009343          5.17          -2929.517375          7.21           -12.164097        -2929.536760          3.49                0.02         
CONF198        -65.014979          1.63          -2929.523381          3.44           -8.621033         -2929.537120          3.26                0.02         
CONF203        -65.014362          2.02          -2929.524204          2.92           -8.970655         -2929.538500          2.40                0.10         
CONF209        -65.009874          4.83          -2929.518114          6.74           -11.742738        -2929.536828          3.45                0.02         
CONF211        -65.013807          2.36          -2929.521406          4.68           -9.266538         -2929.536173          3.86                0.01         
CONF213        -65.014686          1.81          -2929.523729          3.22           -8.708558         -2929.537607          2.96                0.04         
CONF214        -65.013830          2.35          -2929.521741          4.47           -9.242023         -2929.536469          3.67                0.01         
CONF218        -65.015335          1.41          -2929.525833          1.90           -8.277095         -2929.539023          2.07                0.18         
CONF223        -65.009333          5.17          -2929.519351          5.97           -11.986921        -2929.538453          2.43                0.10         
CONF225        -65.011275          3.95          -2929.520262          5.39           -10.747266        -2929.537389          3.09                0.03         
CONF230        -65.011612          3.74          -2929.520057          5.52           -10.525841        -2929.536831          3.44                0.02         
CONF231        -65.011622          3.74          -2929.520137          5.47           -10.518259        -2929.536899          3.40                0.02         
CONF236        -65.014686          1.81          -2929.525342          2.21           -8.561446         -2929.538986          2.09                0.17         
CONF238        -65.015376          1.38          -2929.527622          0.78           -8.109121         -2929.540545          1.11                0.89         
CONF239        -65.015372          1.38          -2929.527602          0.79           -8.112010         -2929.540529          1.12                0.88         
CONF240        -65.011400          3.87          -2929.521430          4.66           -10.605252        -2929.538331          2.50                0.09         
CONF241        -65.014306          2.05          -2929.523459          3.39           -8.768770         -2929.537432          3.07                0.03         
CONF242        -65.014652          1.83          -2929.525363          2.19           -8.578310         -2929.539033          2.06                0.18         
CONF250        -65.010906          4.18          -2929.520829          5.04           -10.867810        -2929.538148          2.62                0.07         
CONF251        -65.014379          2.01          -2929.523238          3.53           -8.685486         -2929.537079          3.29                0.02         
CONF255        -65.014289          2.06          -2929.523703          3.23           -8.719013         -2929.537598          2.96                0.04         
CONF257        -65.014307          2.05          -2929.523737          3.21           -8.699817         -2929.537601          2.96                0.04         
CONF260        -65.016259          0.83          -2929.528006          0.53           -7.469408         -2929.539910          1.51                0.45         
CONF264        -65.014516          1.92          -2929.525609          2.04           -8.519905         -2929.539186          1.97                0.21         
CONF265        -65.014942          1.65          -2929.524652          2.64           -8.250597         -2929.537800          2.84                0.05         
CONF267        -65.014932          1.66          -2929.524526          2.72           -8.257375         -2929.537685          2.91                0.04         
CONF268        -65.014935          1.66          -2929.524522          2.72           -8.256073         -2929.537679          2.91                0.04         
CONF269        -65.014940          1.65          -2929.524570          2.69           -8.252964         -2929.537722          2.88                0.04         
CONF271        -65.016218          0.85          -2929.528180          0.43           -7.483190         -2929.540106          1.39                0.56         
CONF273        -65.013864          2.33          -2929.525489          2.11           -8.958912         -2929.539766          1.60                0.39         
CONF274        -65.013870          2.33          -2929.525379          2.18           -8.954227         -2929.539648          1.68                0.34         
CONF277        -65.011125          4.05          -2929.522631          3.91           -10.626669        -2929.539566          1.73                0.32         
CONF285        -65.014117          2.17          -2929.524658          2.64           -8.722029         -2929.538557          2.36                0.11         
CONF289        -65.013909          2.30          -2929.524056          3.01           -8.836586         -2929.538138          2.62                0.07         
CONF300        -65.012930          2.91          -2929.522380          4.07           -9.397847         -2929.537356          3.11                0.03         
CONF301        -65.014593          1.87          -2929.523079          3.63           -8.350745         -2929.536387          3.72                0.01         
CONF302        -65.014058          2.21          -2929.523047          3.65           -8.689569         -2929.536895          3.40                0.02         
CONF303        -65.014764          1.76          -2929.528470          0.24           -8.238391         -2929.541599          0.45                2.72         
CONF304        -65.011809          3.62          -2929.521700          4.49           -10.089083        -2929.537778          2.85                0.05         
CONF305        -65.011816          3.61          -2929.521634          4.53           -10.081684        -2929.537700          2.90                0.04         
CONF311        -65.012415          3.24          -2929.520639          5.16           -9.684417         -2929.536072          3.92                0.01         
CONF315        -65.014459          1.96          -2929.528228          0.40           -8.388580         -2929.541596          0.45                2.71         
CONF316        -65.015007          1.61          -2929.527680          0.74           -8.031894         -2929.540480          1.15                0.83         
CONF318        -65.011415          3.87          -2929.521193          4.81           -10.283353        -2929.537580          2.97                0.04         
CONF320        -65.011035          4.10          -2929.519877          5.64           -10.517445        -2929.536638          3.56                0.01         
CONF322        -65.013286          2.69          -2929.521860          4.39           -9.099145         -2929.536360          3.74                0.01         
CONF323        -65.013316          2.67          -2929.521674          4.51           -9.077761         -2929.536140          3.88                0.01         
CONF329        -65.013937          2.28          -2929.523021          3.66           -8.664021         -2929.536828          3.45                0.02         
CONF330        -65.014207          2.11          -2929.525859          1.88           -8.487087         -2929.539385          1.84                0.26         
CONF332        -65.011258          3.96          -2929.520646          5.15           -10.336884        -2929.537119          3.26                0.02         
CONF337        -65.014732          1.78          -2929.525730          1.96           -8.141631         -2929.538705          2.27                0.13         
CONF338        -65.014293          2.06          -2929.528307          0.35           -8.413024         -2929.541714          0.38                3.07         
CONF339        -65.011145          4.04          -2929.521422          4.67           -10.387611        -2929.537976          2.72                0.06         
CONF345        -65.013678          2.45          -2929.522929          3.72           -8.786765         -2929.536931          3.38                0.02         
CONF352        -65.013626          2.48          -2929.524866          2.50           -8.794575         -2929.538881          2.16                0.15         
CONF361        -65.011016          4.12          -2929.522003          4.30           -10.416465        -2929.538603          2.33                0.11         
CONF362        -65.011413          3.87          -2929.522191          4.18           -10.166631        -2929.538392          2.46                0.09         
CONF366        -65.013648          2.46          -2929.523828          3.16           -8.749275         -2929.537771          2.85                0.05         
CONF367        -65.013386          2.63          -2929.525342          2.21           -8.912325         -2929.539544          1.74                0.31         
CONF370        -65.013409          2.61          -2929.524956          2.45           -8.878606         -2929.539105          2.02                0.19         
CONF371        -65.013396          2.62          -2929.525322          2.22           -8.904694         -2929.539513          1.76                0.30         
CONF374        -65.012939          2.91          -2929.523332          3.47           -9.144904         -2929.537906          2.77                0.05         
CONF376        -65.013290          2.69          -2929.523201          3.55           -8.918255         -2929.537413          3.08                0.03         
CONF377        -65.013326          2.67          -2929.523360          3.45           -8.895819         -2929.537536          3.00                0.04         
CONF380        -65.012675          3.08          -2929.522410          4.05           -9.302024         -2929.537233          3.19                0.03         
CONF386        -65.008144          5.92          -2929.516837          7.54           -12.125274        -2929.536160          3.86                0.01         
CONF390        -65.007299          6.45          -2929.515876          8.15           -12.638087        -2929.536016          3.95                0.01         
CONF392        -65.012234          3.35          -2929.521587          4.56           -9.557067         -2929.536817          3.45                0.02         
CONF397        -65.007636          6.24          -2929.517105          7.37           -12.396719        -2929.536861          3.42                0.02         
CONF398        -65.010440          4.48          -2929.520588          5.19           -10.639241        -2929.537543          3.00                0.04         
CONF399        -65.014085          2.19          -2929.527868          0.62           -8.341747         -2929.541161          0.73                1.71         
CONF401        -65.013588          2.50          -2929.522561          3.95           -8.642035         -2929.536333          3.76                0.01         
CONF402        -65.008163          5.91          -2929.517364          7.21           -12.056150        -2929.536577          3.60                0.01         
CONF409        -65.013996          2.25          -2929.527280          0.99           -8.361564         -2929.540605          1.08                0.95         
CONF411        -65.014031          2.22          -2929.527354          0.94           -8.337181         -2929.540640          1.05                0.99         
CONF412        -65.012933          2.91          -2929.521942          4.34           -9.025810         -2929.536326          3.76                0.01         
CONF415        -65.013590          2.50          -2929.522607          3.92           -8.630264         -2929.536360          3.74                0.01         
CONF416        -65.013450          2.59          -2929.526112          1.72           -8.696563         -2929.539970          1.47                0.49         
CONF420        -65.013953          2.27          -2929.525971          1.81           -8.370693         -2929.539310          1.89                0.24         
CONF422        -65.013107          2.80          -2929.523142          3.59           -8.900830         -2929.537326          3.13                0.03         
CONF435        -65.013976          2.26          -2929.524018          3.04           -8.338305         -2929.537305          3.15                0.03         
CONF439        -65.014622          1.85          -2929.524896          2.49           -7.919487         -2929.537516          3.01                0.04         
CONF444        -65.012714          3.05          -2929.522367          4.07           -9.101327         -2929.536871          3.42                0.02         
CONF446        -65.012545          3.16          -2929.521589          4.56           -9.204967         -2929.536258          3.80                0.01         
CONF448        -65.012889          2.94          -2929.525188          2.30           -8.983541         -2929.539504          1.77                0.30         
CONF461        -65.012566          3.14          -2929.522567          3.95           -9.145903         -2929.537142          3.25                0.02         
CONF465        -65.013520          2.54          -2929.523003          3.67           -8.539850         -2929.536612          3.58                0.01         
CONF467        -65.013546          2.53          -2929.524575          2.69           -8.511591         -2929.538139          2.62                0.07         
CONF468        -65.011338          3.91          -2929.520233          5.41           -9.896641         -2929.536004          3.96                0.01         
CONF469        -65.013800          2.37          -2929.523428          3.41           -8.349340         -2929.536733          3.50                0.02         
CONF470        -65.012556          3.15          -2929.522636          3.90           -9.127220         -2929.537181          3.22                0.03         
CONF474        -65.013271          2.70          -2929.522924          3.72           -8.661589         -2929.536728          3.51                0.02         
CONF475        -65.013868          2.33          -2929.523271          3.51           -8.280549         -2929.536467          3.67                0.01         
CONF485        -65.012867          2.95          -2929.522295          4.12           -8.875732         -2929.536440          3.69                0.01         
CONF491        -65.012379          3.26          -2929.522123          4.23           -9.158650         -2929.536718          3.51                0.02         
CONF492        -65.013252          2.71          -2929.522962          3.70           -8.620226         -2929.536699          3.53                0.02         
CONF505        -65.012374          3.26          -2929.522139          4.22           -9.161768         -2929.536739          3.50                0.02         
CONF511        -65.013111          2.80          -2929.523405          3.42           -8.659965         -2929.537205          3.21                0.03         
CONF514        -65.012841          2.97          -2929.523565          3.32           -8.823842         -2929.537626          2.94                0.04         
CONF518        -65.012812          2.99          -2929.523701          3.24           -8.835509         -2929.537782          2.85                0.05         
CONF522        -65.011578          3.76          -2929.522916          3.73           -9.605737         -2929.538224          2.57                0.08         
CONF525        -65.010883          4.20          -2929.520393          5.31           -10.037098        -2929.536388          3.72                0.01         
CONF526        -65.015205          1.49          -2929.527558          0.82           -7.326019         -2929.539233          1.94                0.22         
CONF529        -65.013529          2.54          -2929.522778          3.82           -8.369990         -2929.536117          3.89                0.01         
CONF530        -65.007660          6.22          -2929.519331          5.98           -12.051205        -2929.538536          2.37                0.11         
CONF538        -65.007874          6.09          -2929.519884          5.63           -11.903920        -2929.538854          2.17                0.15         
CONF542        -65.013713          2.42          -2929.524346          2.83           -8.224432         -2929.537453          3.05                0.03         
CONF544        -65.011782          3.64          -2929.523619          3.29           -9.430329         -2929.538647          2.30                0.12         
CONF545        -65.013909          2.30          -2929.526655          1.38           -8.091557         -2929.539550          1.74                0.31         
CONF546        -65.013710          2.43          -2929.524412          2.79           -8.209053         -2929.537493          3.03                0.04         
CONF547        -65.012050          3.47          -2929.523213          3.54           -9.251633         -2929.537957          2.74                0.06         
CONF551        -65.007227          6.49          -2929.517484          7.14           -12.267441        -2929.537033          3.32                0.02         
CONF553        -65.013403          2.62          -2929.523408          3.42           -8.389448         -2929.536777          3.48                0.02         
CONF554        -65.013384          2.63          -2929.524636          2.65           -8.400237         -2929.538023          2.70                0.06         
CONF555        -65.013377          2.63          -2929.524703          2.61           -8.403861         -2929.538095          2.65                0.07         
CONF556        -65.013427          2.60          -2929.523451          3.39           -8.371400         -2929.536792          3.47                0.02         
CONF559        -65.013262          2.71          -2929.522784          3.81           -8.468067         -2929.536279          3.79                0.01         
CONF560        -65.010095          4.69          -2929.519971          5.58           -10.455419        -2929.536633          3.57                0.01         
CONF562        -65.007925          6.06          -2929.518563          6.46           -11.815052        -2929.537391          3.09                0.03         
CONF568        -65.011396          3.88          -2929.521814          4.42           -9.618326         -2929.537142          3.25                0.02         
CONF570        -65.011447          3.85          -2929.522105          4.24           -9.596408         -2929.537398          3.09                0.03         
CONF571        -65.013055          2.84          -2929.524140          2.96           -8.576929         -2929.537808          2.83                0.05         
CONF572        -65.012228          3.36          -2929.523123          3.60           -9.104164         -2929.537632          2.94                0.04         
CONF573        -65.013042          2.84          -2929.524155          2.95           -8.583606         -2929.537834          2.81                0.05         
CONF576        -65.010752          4.28          -2929.520385          5.32           -10.016821        -2929.536348          3.75                0.01         
CONF581        -65.009639          4.98          -2929.518958          6.21           -10.703093        -2929.536014          3.96                0.01         
CONF586        -65.012687          3.07          -2929.522306          4.11           -8.779219         -2929.536297          3.78                0.01         
CONF587        -65.012678          3.07          -2929.522368          4.07           -8.785425         -2929.536369          3.73                0.01         
CONF588        -65.012668          3.08          -2929.522279          4.13           -8.790468         -2929.536287          3.78                0.01         
CONF589        -65.012669          3.08          -2929.522237          4.16           -8.790547         -2929.536245          3.81                0.01         
CONF590        -65.012671          3.08          -2929.522279          4.13           -8.788676         -2929.536285          3.79                0.01         
CONF592        -65.012996          2.87          -2929.523099          3.61           -8.571860         -2929.536759          3.49                0.02         
CONF595        -65.013120          2.80          -2929.528703          0.10           -8.488825         -2929.542231          0.05                5.32         
CONF596        -65.013129          2.79          -2929.528804          0.03           -8.480356         -2929.542318          0.00                5.83         
CONF597        -65.013403          2.62          -2929.524142          2.96           -8.305380         -2929.537378          3.10                0.03         
CONF599        -65.013373          2.64          -2929.524130          2.97           -8.318475         -2929.537386          3.09                0.03         
CONF602        -65.012419          3.24          -2929.523522          3.35           -8.912797         -2929.537726          2.88                0.05         
CONF616        -65.012172          3.39          -2929.521610          4.55           -9.039488         -2929.536015          3.96                0.01         
CONF621        -65.012702          3.06          -2929.525808          1.91           -8.700244         -2929.539673          1.66                0.35         
CONF623        -65.013317          2.67          -2929.527945          0.57           -8.309625         -2929.541187          0.71                1.76         
CONF630        -65.012177          3.39          -2929.522278          4.13           -9.007064         -2929.536632          3.57                0.01         
CONF635        -65.012192          3.38          -2929.522171          4.20           -8.990010         -2929.536498          3.65                0.01         
CONF642        -65.012582          3.13          -2929.523990          3.05           -8.731362         -2929.537904          2.77                0.05         
CONF645        -65.012152          3.40          -2929.523635          3.28           -8.994967         -2929.537969          2.73                0.06         
CONF654        -65.010085          4.70          -2929.521068          4.89           -10.274326        -2929.537441          3.06                0.03         
CONF656        -65.013582          2.51          -2929.523426          3.41           -8.072286         -2929.536290          3.78                0.01         
CONF667        -65.011504          3.81          -2929.521432          4.66           -9.352323         -2929.536335          3.75                0.01         
CONF669        -65.012499          3.19          -2929.523515          3.35           -8.725977         -2929.537421          3.07                0.03         
CONF670        -65.012809          2.99          -2929.523540          3.34           -8.530188         -2929.537134          3.25                0.02         
CONF675        -65.012582          3.13          -2929.523197          3.55           -8.664369         -2929.537005          3.33                0.02         
CONF681        -65.012948          2.90          -2929.527163          1.06           -8.429624         -2929.540596          1.08                0.94         
CONF685        -65.012561          3.15          -2929.523631          3.28           -8.664364         -2929.537439          3.06                0.03         
CONF691        -65.012792          3.00          -2929.523596          3.30           -8.540987         -2929.537207          3.21                0.03         
CONF695        -65.011003          4.12          -2929.520644          5.15           -9.617153         -2929.535970          3.98                0.01         
CONF697        -65.013263          2.71          -2929.526068          1.75           -8.198511         -2929.539133          2.00                0.20         
CONF705        -65.011651          3.72          -2929.521715          4.48           -9.192432         -2929.536365          3.74                0.01         
